,TMAX min band,TMAX max band,TMAX
1901-01-21,0.2,11.0,5.910729079325402
1901-01-22,0.2,11.6,7.346654338650962
1901-01-23,2.9,16.2,9.805350815880995
1901-01-24,1.4,12.0,7.727552064137032
1901-01-25,-1.0,11.4,3.8210634119692304
1901-01-26,-1.8,6.2,1.123855616225513
1901-01-27,-1.0,6.0,2.6721434798600896
1901-01-28,-2.0,5.2,1.816918238536951
1901-01-29,-3.1,3.0,-0.5359595421063152
1901-01-30,-7.0,1.0,-3.9174226842578794
1901-01-31,-11.2,0.0,-4.499917230074506
1901-02-01,-7.8,1.1,-3.104925857509943
1901-02-02,-3.4,4.0,-0.17286497202089599
1901-02-03,-8.4,13.0,-1.499825328818907
1901-02-04,-8.4,-2.1,-3.5404637098187037
1901-02-05,-6.2,2.4,-2.4360005312406794
1901-02-06,-7.8,6.2,-2.398308969351346
1901-02-07,-5.3,8.6,0.4394504171897919
1901-02-08,-1.6,8.8,3.989638032787958
1901-02-09,-4.0,9.7,3.3062316491252006
1901-02-10,-1.8,12.0,3.3448740978551124
1901-02-11,-0.4,8.4,5.8646014220947835
1901-02-12,-4.5,12.2,4.167790846088457
1901-02-13,-6.0,12.4,4.357214468484913
1901-02-14,-6.4,13.8,2.1992338027659293
1901-02-15,-5.4,3.6,-1.0936953333663717
1901-02-16,-9.0,3.2,-4.178280920790162
1901-02-17,-1.6,10.4,5.615242201724571
1901-02-18,-3.6,6.6,0.6041242546145487
1901-02-19,-1.6,11.7,3.7692859510021592
1901-02-20,-9.0,4.2,-2.167698766781968
1901-02-21,-9.0,2.4,-3.6008608913700026
1901-02-22,-7.2,2.6,-1.7387337789666208
1901-02-23,-7.5,1.8,-2.480766708842673
1901-02-24,-9.1,0.4,-3.1821135806647387
1901-02-25,-1.8,6.3,0.5799521040330058
1901-02-26,-1.8,6.2,2.0980582866096285
1901-02-27,-4.2,6.0,1.1675347545427737
1901-02-28,-5.6,2.2,-1.2783350818330321
1901-03-01,1.6,6.8,4.199717780192256
1901-03-02,1.6,8.0,5.659408343382891
1901-03-03,-2.7,5.8,1.4599383037810594
1901-03-04,0.8,16.3,5.162431943062054
1901-03-05,-2.5,14.0,7.1373948247673
1901-03-06,-3.8,13.2,2.869776167031469
1901-03-07,-5.2,9.0,-0.22171188269951989
1901-03-08,-5.0,-0.2,-2.7549431529632415
