,TMIN min band,TMIN max band,TMIN
1901-04-04,-1.0,8.4,4.22000971771603
1901-04-05,-3.5,4.0,0.6326117547685419
1901-04-06,7.0,12.0,8.39350299102509
1901-04-07,3.4,5.8,5.182698705007816
1901-04-08,1.4,5.0,2.644051112650301
1901-04-09,-0.6,5.5,4.0242864059201855
1901-04-10,-2.8,1.0,-1.0041133544306655
1901-04-11,-6.6,2.0,-0.3131006213380927
1901-04-12,-5.8,-3.2,-4.619244543560732
1901-04-13,-1.0,6.6,0.7616770792595157
1901-04-14,2.3,9.0,4.455364880089719
1901-04-15,-2.6,4.4,0.5832905486070701
1901-04-16,1.0,5.0,2.3401082328980363
1901-04-17,-3.2,4.7,0.5136677192905168
1901-04-18,0.0,4.0,2.3937537626916945
1901-04-19,-0.4,6.6,3.7378088450026588
1901-04-20,-1.2,3.0,0.6292874181458443
1901-04-21,-3.2,-0.4,-1.1155472695051392
1901-04-22,-1.2,3.0,1.7504502099132258
1901-04-23,-1.6,-0.2,-0.8292709275397969
1901-04-24,-1.2,-0.4,-0.6396780595567154
1901-04-25,-3.4,2.0,-1.0505065337197241
1901-04-26,-7.2,-6.0,-6.507465436678459
1901-04-27,-7.8,-0.5,-4.708595414747352
1901-04-28,-1.0,5.0,2.4917379297646636
1901-04-29,-0.4,4.8,1.4869441388592268
1901-04-30,-2.0,3.0,-0.3148607169596104
1901-05-01,0.0,4.0,1.4127073577016684
1901-05-02,-2.0,1.0,-0.9890546534488642
1901-05-03,-1.2,9.1,4.404299644723787
1901-05-04,-8.2,0.0,-3.147934841785686
1901-05-05,1.0,5.0,3.165065199466181
1901-05-06,-8.9,-3.4,-5.612008146366299
1901-05-07,-5.0,-3.2,-3.9707131178039803
1901-05-08,-1.6,2.0,0.39961268363382013
1901-05-09,-3.6,-1.6,-2.727944991501002
1901-05-10,-6.4,4.8,0.7519447891229583
1901-05-11,-7.0,1.6,-2.736204600919119
1901-05-12,0.0,5.0,2.999448428927325
1901-05-13,-3.6,6.2,2.3449634521063674
1901-05-14,-7.0,6.0,0.04353284768852826
1901-05-15,3.2,7.6,5.244425281904511
1901-05-16,1.4,8.6,3.9461177944510015
1901-05-17,0.6,5.0,2.455608845279733
1901-05-18,-2.0,5.6,3.420229053820708
1901-05-19,0.4,9.0,6.6852568552266165
1901-05-20,0.0,8.0,2.4338744645910597
1901-05-21,0.0,8.0,1.9767306415098402
1901-05-22,1.4,7.0,3.9920260602129423
1901-05-23,-0.8,5.0,1.4351551949789247
1901-05-24,-1.1,3.8,2.5637707139913437
1901-05-25,-5.2,4.6,-1.047400334259179
1901-05-26,-0.8,5.0,2.1307516716955273
1901-05-27,-1.4,7.4,2.4175625834126224
1901-05-28,-1.0,5.4,1.3649692546942043
1901-05-29,-2.8,12.8,5.521216856626437
1901-05-30,-1.0,3.0,1.9487867820392033
1901-05-31,0.4,6.6,3.563000862835009
1901-06-01,9.6,16.0,12.118079414616071
1901-06-02,9.0,18.4,12.522856223195904
1901-06-03,8.2,14.0,10.274862311480495
1901-06-04,9.4,14.8,12.52072612386864
1901-06-05,9.6,15.8,11.735688908266107
1901-06-06,10.8,14.0,12.302887275410198
1901-06-07,3.1,14.0,11.553342113434853
1901-06-08,6.0,12.6,7.8332811187235025
1901-06-09,9.2,16.4,12.844542062727783
1901-06-10,8.8,15.5,12.761571309152446
1901-06-11,9.8,15.6,12.299198360891522
1901-06-12,9.2,14.0,12.130455499749255
1901-06-13,2.6,9.5,5.687187574759813
1901-06-14,1.0,11.0,4.299507443823571
1901-06-15,6.0,18.0,11.587051405768191
1901-06-16,4.0,13.4,7.433809291399409
1901-06-17,5.0,13.6,9.528058110417836
1901-06-18,6.2,10.0,8.347264868153095
1901-06-19,12.6,18.2,15.706617994621961
1901-06-20,12.6,17.8,14.555716852365318
1901-06-21,12.6,19.0,15.146084106885294
1901-06-22,9.0,11.4,10.246168605920724
1901-06-23,4.4,12.4,7.820197166093073
1901-06-24,13.6,15.6,14.961376140308074
1901-06-25,10.2,15.0,12.45092276048503
1901-06-26,14.6,17.0,16.047673009781704
1901-06-27,7.2,12.0,8.90743125547116
1901-06-28,7.0,9.8,8.01595974010006
1901-06-29,10.0,15.2,12.916598733226271
1901-06-30,4.2,12.0,7.472944882902776
1901-07-01,1.4,11.7,8.441033149226456
1901-07-02,5.4,9.6,7.7170020166229385
1901-07-03,2.4,8.0,5.399836995458454
1901-07-04,9.6,13.4,11.127945533500405
1901-07-05,8.0,12.8,10.347050751706997
1901-07-06,3.5,12.8,10.140695628883702
1901-07-07,6.0,11.2,9.14894892367483
1901-07-08,7.5,13.8,11.676549776883713
1901-07-09,9.3,15.4,11.454153251430041
1901-07-10,10.0,13.2,11.697687317272303
1901-07-11,5.2,11.2,7.138496850469674
1901-07-12,2.6,18.5,9.851127134338757
1901-07-13,11.0,12.0,11.264641721258485
1901-07-14,11.0,15.4,13.809354971349196
1901-07-15,7.0,18.8,12.586766896630346
1901-07-16,8.8,15.6,13.2317269143865
1901-07-17,14.4,17.0,15.983769930934951
1901-07-18,13.6,19.8,17.150408778207694
1901-07-19,11.0,14.2,12.652053232844333
